Bid,tipoResiduo,nivelLlenado,estado,fecha
1523543,resto,0,OK,2021-10-06T10:32:56
1523548,envases,2,OK,2021-10-06T09:34:01
1523549,resto,2,OK,2021-10-06T10:17:07
1523550,resto,6,OK,2021-10-06T10:49:45
1523551,resto,0,OK,2021-10-06T09:27:21
1523554,envases,6,OK,2021-10-06T10:37:45
1523555,envases,4,OK,2021-10-06T10:09:29
1523557,resto,2,OK,2021-10-06T10:26:10
1523563,resto,4,OK,2021-10-06T09:57:15
1523565,resto,6,OK,2021-10-06T10:28:16
1523564,resto,2,OK,2021-10-06T10:17:31
1523570,resto,6,OK,2021-10-06T10:16:28
1523574,envases,2,OK,2021-10-06T09:34:10
1523578,envases,6,OK,2021-10-06T10:34:10
1523580,resto,0,OK,2021-10-06T09:38:53
1523581,resto,2,OK,2021-10-06T10:53:57
1523584,resto,0,OK,2021-10-06T10:54:54
1523583,resto,8,LLENA,2021-10-06T10:37:28
1523582,resto,6,OK,2021-10-06T10:10:03
1523585,envases,0,OK,2021-10-06T09:34:04
1523586,resto,4,OK,2021-10-06T10:29:43
1523589,envases,4,OK,2021-10-06T10:51:29
1523588,resto,0,OK,2021-10-06T10:33:59
1523587,envases,0,OK,2021-10-06T10:28:29
1523592,resto,6,OK,2021-10-06T10:37:50
1523594,resto,6,OK,2021-10-06T10:01:42
1523598,envases,4,OK,2021-10-06T10:13:16
1523602,envases,2,OK,2021-10-06T09:37:26
1523605,envases,2,OK,2021-10-06T09:56:07
1523606,resto,0,OK,2021-10-06T09:31:01
1523608,resto,0,OK,2021-10-06T10:36:17
1523610,resto,2,OK,2021-10-06T11:03:14
1523797,resto,2,OK,2021-10-06T09:36:22
1523796,envases,0,OK,2021-10-06T10:09:18
1523799,envases,4,OK,2021-10-06T10:09:11
1523798,resto,2,OK,2021-10-06T10:02:54
1523801,resto,2,OK,2021-10-06T11:04:47
1523800,envases,2,OK,2021-10-06T09:37:37
1523802,envases,0,OK,2021-10-06T10:19:55
1523803,envases,0,OK,2021-10-06T09:45:20
1523811,envases,0,OK,2021-10-06T09:45:09
1523815,envases,0,OK,2021-10-06T09:45:53
1523814,resto,2,OK,2021-10-06T10:48:40
1523816,resto,2,OK,2021-10-06T09:56:06
1523813,resto,2,OK,2021-10-06T09:51:39
1523809,resto,4,OK,2021-10-06T09:54:36
1523817,resto,0,OK,2021-10-06T02:46:53
1523818,resto,4,OK,2021-10-06T09:40:20
1523808,resto,2,OK,2021-10-06T09:44:30
1523807,resto,2,OK,2021-10-06T10:25:18
1523806,envases,2,OK,2021-10-06T10:13:37
1523819,resto,0,OK,2021-10-06T09:35:41
1523822,resto,6,OK,2021-10-06T11:00:50
1523821,resto,0,OK,2021-10-06T03:47:12
1523820,resto,0,ERROR,2021-10-06T10:19:10
