stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_979,979,METRO GARCÍA NOBLEJAS,Calle de Emilio Muñoz 1 C,40.4304295628616,-3.63172083731976,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_980,980,EMILIO MUÑOZ-STA.LEONOR,Calle de Emilio Muñoz 21,40.4316276637467,-3.62843100493287,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_981,981,EMILIO MUÑOZ-STA.LEONOR,Calle de Emilio Muñoz 21,40.4317710944118,-3.62856202434595,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_982,982,EMILIO MUÑOZ-ALFONSO GOMEZ,Calle de Emilio Muñoz 45,40.4331862659467,-3.62509723546392,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_983,983,EMILIO MUÑOZ-ALFONSO GOMEZ,Calle de Emilio Muñoz 43,40.4332389779022,-3.6253453078644,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_984,984,EMILIO MUÑOZ-MIGUEL YUSTE,Calle de Emilio Muñoz 57,40.4343152812259,-3.62289118692677,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_985,985,EMILIO MUÑOZ-MIGUEL YUSTE,Calle de Emilio Muñoz 57,40.4344228112853,-3.622998288644,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_07101,07101,BOYER-LOS CAVILAS,Calle de Boyer 5300,40.4023488069269,-3.59079049348868,A,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07102,07102,BOYER-CTRA.COSLADA,Calle de Boyer 4900,40.4044661770276,-3.58720288239951,A,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07112,07112,VELÁZQUEZ-CENTRO DE MAYORES,Calle de Velázquez 6,40.423155145495,-3.56462635053771,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07119,07119,MÉJICO-ARGENTINA,Calle   Méjico 16,40.4264629075692,-3.54555653204016,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07126,07126,AV.BERLÍN-AULA COMPENSACIÓN EDUCATIVA,Avda de Vicálvaro 51,40.4213816317955,-3.53791242351335,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07127,07127,AV.VICÁLVARO-GONZALO DE CÓRDOBA,Avda de Vicálvaro 10,40.4238181291428,-3.53703593609666,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07128,07128,AV.CAÑADA-JESÚS DE SAN ANTONIO,Avda de la Cañada 5,40.4258884173862,-3.53741784496577,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07129,07129,AV.CAÑADA-OVIEDO,Avda de la Cañada 89,40.4290932423382,-3.53792670586547,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07130,07130,AV.CAÑADA-AV.JARAMA,Avda de la Cañada 48,40.4316832243987,-3.53891408151895,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07140,07140,AV.CAÑADA-AV.JOSÉ GÁRATE,Avda de la Cañada 105,40.4318713061085,-3.53915137336017,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07141,07141,AV.CAÑADA-CRUZ,Avda de la Cañada 79,40.4290653935301,-3.53810331937738,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07156,07156,AV.CAÑADA-JESÚS DE SAN ANTONIO,Avda de la Cañada 4,40.4259073112549,-3.53722937973573,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07157,07157,AV.VICÁLVARO-SEGURA,Avda de Vicálvaro,40.423664051276,-3.53723510812627,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07158,07158,AV.BERLÍN-AULA COMPENSACIÓN EDUCATIVA,Avda de Berlín 2,40.4212090961928,-3.53820574057842,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07165,07165,MÉJICO-ARGENTINA,Calle   Méjico 7,40.4262724467767,-3.5458261294523,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07182,07182,BOYER-CTRA.VICÁLVARO,Calle de Boyer 4900,40.4046000488255,-3.58745152534027,A,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07183,07183,BOYER-LOS CAVILAS,Calle de Boyer 5,40.4023464578171,-3.59125006247832,A,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08309,08309,COLOMBIA-ARGENTINA,Calle   Colombia 15 D,40.4260197701663,-3.54208713438827,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09129,09129,COLOMBIA-JESÚS DE SAN ANTONIO,Calle   Colombia 12,40.4258299809186,-3.5422152837214,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_1069,1069,SAN CIPRIANO-JARDIN DE LA DUQUESA,Calle de San Cipriano 31,40.4040882605268,-3.60459374010674,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_1074,1074,SAN CIPRIANO-Pº ARTILLEROS,Calle de San Cipriano 11,40.4042752436857,-3.6084490027989,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_1075,1075,Pº ARTILLEROS-VILLACARLOS,Paseo de los Artilleros 31,40.4057943388634,-3.60909906901661,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_10874,10874,AV.CONSTITUCIÓN-MAR MEDITERRÁNEO,Ctra de Vicálvaro a Coslada 52,40.4169190789146,-3.57956714650648,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10875,10875,AV.CONSTITUCIÓN-MAR MEDITERRÁNEO,Ctra de Vicálvaro a Coslada 3400,40.4179306978294,-3.57904540926293,B1,http://www.crtm.es,0,,Europe/Madrid,2
